"","school","sex","age","address","famsize","Pstatus","Medu","Fedu","Mjob","Fjob","reason","nursery","internet","guardian.x","traveltime.x","studytime.x","failures.x","schoolsup.x","famsup.x","paidsup.x","activities.x","higher.x","romantic.x","famrel.x","freetime.x","goout.x","DailyAlc.x","WeekendAlc.x","health.x","absences.x","MathG1","MathG2","MathGFinal","guardian.y","traveltime.y","studytime.y","failures.y","schoolsup.y","famsup.y","paidsup.y","activities.y","higher.y","romantic.y","famrel.y","freetime.y","goout.y","DailyAlc.y","WeekendAlc.y","health.y","absences.y","PorG1","PorG2","PorGFinal"
"11","GP","F",15,"U",">3","apart","higher","secondary","services","services","reputation","yes","yes","mother","<15m","2-5h",0,"no","yes","yes","yes","yes","no","Good","Moderate","Low",1,1,"VeryBad",0,14,15,15,"mother","<15m","2-5h",0,"no","yes","no","yes","yes","no","Good","Moderate","Low",1,1,"VeryBad",0,15,14,15
"12","GP","F",15,"U",">3","together","primary","primary","at_home","other","course","no","yes","mother","30-60m","<2h",0,"no","yes","no","yes","yes","yes","Good","Moderate","Moderate",1,2,"Good",0,8,0,0,"mother","30-60m","<2h",0,"no","yes","no","yes","yes","yes","Good","Moderate","Moderate",1,2,"Good",6,11,12,13
"13","GP","F",15,"U",">3","together","primary","primary","other","other","home","no","yes","father","<15m","2-5h",0,"no","yes","no","yes","yes","no","Good","Moderate","Low",2,3,"Good",2,9,10,10,"father","<15m","2-5h",0,"no","yes","no","yes","yes","no","Good","Moderate","Low",2,3,"Good",2,13,12,12
"14","GP","F",15,"U",">3","together","primary","primary","other","services","course","yes","yes","father","<15m","2-5h",0,"no","yes","yes","no","yes","no","Good","High","Low",1,2,"VeryGood",0,8,11,11,"father","<15m","2-5h",0,"no","yes","no","no","yes","no","Good","High","Low",1,2,"VeryGood",0,12,12,12
"15","GP","F",15,"U",">3","together","primary","middle","at_home","other","course","no","yes","mother","<15m","2-5h",0,"no","yes","yes","no","yes","no","Good","Moderate","Low",1,1,"VeryGood",2,10,11,11,"mother","<15m","2-5h",0,"no","yes","no","no","yes","no","Good","Moderate","Low",1,1,"VeryGood",6,13,12,13
"16","GP","F",15,"U",">3","together","primary","middle","at_home","services","course","no","yes","mother","<15m","2-5h",0,"no","no","no","no","yes","no","Neutral","Low","Moderate",1,2,"VeryBad",2,16,15,15,"mother","<15m","2-5h",0,"no","no","no","no","yes","no","Neutral","Low","Moderate",1,2,"VeryBad",0,14,14,14
"17","GP","F",15,"U",">3","together","middle","primary","services","other","reputation","yes","yes","father","30-60m","5-10h",0,"no","yes","no","yes","yes","no","Excellent","Low","Low",1,1,"Good",4,10,12,12,"father","30-60m","5-10h",0,"no","yes","no","yes","yes","no","Excellent","Low","Low",1,1,"Good",0,10,12,13
"18","GP","F",15,"U",">3","together","middle","middle","other","other","course","yes","yes","mother","<15m",">10h",0,"yes","yes","yes","no","yes","no","Excellent","VeryLow","Low",1,1,"Moderate",8,7,8,8,"mother","<15m",">10h",0,"yes","yes","no","no","yes","no","Excellent","VeryLow","Low",1,1,"Moderate",4,10,10,10
"19","GP","F",15,"U",">3","together","middle","secondary","other","other","other","yes","no","father","15-30m","<2h",0,"no","yes","no","yes","yes","no","Neutral","VeryHigh","VeryLow",1,1,"VeryGood",0,8,7,6,"father","15-30m","<2h",0,"no","yes","no","yes","yes","no","Neutral","VeryHigh","VeryLow",1,1,"VeryGood",4,11,11,11
"20","GP","F",15,"U",">3","together","secondary","middle","health","services","home","yes","yes","father","<15m","2-5h",3,"no","yes","no","no","yes","no","Neutral","Moderate","Low",1,1,"Moderate",0,6,7,0,"father","<15m","2-5h",1,"no","yes","no","no","yes","no","Neutral","Moderate","Low",1,1,"Moderate",2,11,11,11
"21","GP","F",15,"U",">3","together","secondary","middle","services","other","home","yes","yes","mother","15-30m","2-5h",0,"yes","yes","yes","no","yes","no","Good","Moderate","VeryHigh",1,1,"Bad",26,7,6,6,"mother","15-30m","2-5h",0,"yes","yes","no","no","yes","no","Good","Moderate","VeryHigh",1,1,"Bad",16,11,10,10
"22","GP","F",15,"U",">3","together","higher","middle","health","services","home","yes","yes","mother","<15m","5-10h",0,"no","yes","yes","yes","yes","yes","Neutral","Low","Low",1,1,"VeryGood",2,15,14,15,"mother","<15m","5-10h",0,"no","yes","no","yes","yes","yes","Neutral","Low","Low",1,1,"VeryGood",0,14,14,14
"23","GP","F",15,"U",">3","together","higher","middle","other","other","reputation","yes","yes","mother","<15m","5-10h",0,"no","yes","no","yes","yes","no","Excellent","Moderate","Moderate",1,3,"VeryBad",4,13,14,14,"mother","<15m","5-10h",0,"no","yes","no","yes","yes","no","Excellent","Moderate","Moderate",1,3,"VeryBad",4,15,15,15
"24","GP","F",15,"U",">3","together","higher","secondary","services","other","reputation","yes","yes","mother","<15m","<2h",0,"no","no","yes","yes","yes","no","Good","VeryHigh","VeryHigh",1,3,"VeryBad",4,16,17,18,"mother","<15m","<2h",0,"no","no","no","yes","yes","no","Good","VeryHigh","VeryHigh",1,3,"VeryBad",6,14,13,13
"25","GP","F",15,"U",">3","together","higher","higher","services","at_home","course","yes","yes","mother","<15m","5-10h",0,"no","yes","no","yes","yes","yes","Good","Moderate","Moderate",1,1,"VeryGood",0,11,0,0,"mother","<15m","5-10h",0,"no","yes","no","yes","yes","yes","Good","Moderate","Moderate",1,1,"VeryGood",4,13,14,15
"26","GP","F",15,"U",">3","together","higher","higher","services","services","course","yes","yes","mother","<15m","<2h",0,"yes","yes","yes","no","yes","no","Neutral","Moderate","High",2,3,"VeryGood",0,8,10,11,"mother","<15m","<2h",0,"yes","yes","no","no","yes","no","Neutral","Moderate","High",2,3,"VeryGood",0,13,12,12
"27","GP","F",15,"U",">3","together","higher","higher","services","services","reputation","yes","yes","father","15-30m","2-5h",2,"no","no","yes","no","yes","yes","Good","High","High",2,3,"VeryGood",6,7,9,8,"father","15-30m","2-5h",0,"no","no","no","no","yes","yes","Good","High","High",2,3,"VeryGood",4,12,11,12
"28","GP","F",15,"U",">3","together","higher","higher","services","teacher","other","no","yes","father","<15m","2-5h",1,"yes","yes","no","yes","yes","no","Good","High","High",1,1,"Moderate",2,7,7,7,"father","<15m","2-5h",0,"yes","yes","no","yes","yes","no","Good","High","High",1,1,"Moderate",2,13,12,12
"29","GP","F",15,"U",">3","together","higher","higher","teacher","health","reputation","yes","yes","mother","<15m","2-5h",0,"no","yes","yes","no","yes","no","Neutral","Moderate","Moderate",1,2,"Bad",0,10,8,9,"mother","<15m","2-5h",0,"no","yes","no","no","yes","no","Neutral","Moderate","Moderate",1,2,"Bad",2,14,14,14
"30","GP","F",15,"U",">3","together","higher","higher","teacher","services","course","yes","yes","mother","<15m","5-10h",0,"no","yes","yes","yes","yes","no","Good","Low","Low",1,1,"VeryGood",2,9,11,11,"mother","<15m","5-10h",0,"no","yes","no","yes","yes","no","Good","Low","Low",1,1,"VeryGood",2,13,13,13
"31","GP","F",15,"U",">3","together","higher","higher","teacher","teacher","course","yes","yes","mother","15-30m","<2h",0,"no","no","no","yes","yes","no","Good","Moderate","Low",1,1,"VeryGood",0,16,16,15,"mother","15-30m","<2h",0,"no","no","no","yes","yes","no","Good","Moderate","Low",1,1,"VeryGood",6,13,14,14
"32","GP","F",15,"U","<=3","apart","secondary","secondary","other","other","other","yes","yes","mother","<15m","<2h",0,"no","no","yes","no","yes","no","Excellent","Moderate","High",4,4,"VeryBad",6,10,13,13,"mother","<15m","<2h",0,"no","no","no","no","yes","no","Excellent","Moderate","High",4,4,"VeryBad",0,13,12,13
"33","GP","F",15,"U","<=3","apart","secondary","higher","other","other","home","yes","yes","mother","<15m","2-5h",0,"yes","no","no","yes","yes","yes","Excellent","Moderate","Low",1,1,"VeryBad",0,7,10,11,"mother","<15m","2-5h",0,"yes","no","no","yes","yes","yes","Excellent","Moderate","Low",1,1,"VeryBad",0,10,11,11
"34","GP","F",15,"U","<=3","apart","higher","secondary","other","other","course","yes","yes","mother","<15m","2-5h",0,"yes","yes","yes","yes","yes","yes","Excellent","Low","Low",1,1,"VeryGood",8,8,8,6,"mother","<15m","2-5h",0,"yes","yes","yes","yes","yes","yes","Excellent","Low","Low",1,1,"VeryGood",4,10,11,11
"35","GP","F",15,"U","<=3","together","primary","primary","at_home","other","other","yes","yes","mother","<15m","2-5h",3,"yes","no","yes","no","yes","no","Good","Moderate","Low",2,3,"Moderate",10,7,8,10,"mother","<15m","2-5h",0,"yes","no","no","no","yes","no","Good","Moderate","Low",2,3,"Moderate",6,12,13,12
"36","GP","F",15,"U","<=3","together","secondary","middle","services","other","reputation","yes","yes","mother","<15m","2-5h",0,"no","yes","yes","no","yes","no","Good","High","High",1,1,"VeryGood",10,7,6,6,"mother","<15m","2-5h",0,"no","yes","no","no","yes","no","Good","High","High",1,1,"VeryGood",4,12,11,11
"37","GP","F",15,"U","<=3","together","higher","middle","health","other","other","yes","yes","mother","<15m","2-5h",0,"no","yes","yes","no","yes","no","Good","Moderate","Moderate",1,1,"VeryGood",2,11,13,13,"mother","<15m","2-5h",0,"no","yes","no","no","yes","no","Good","Moderate","Moderate",1,1,"VeryGood",0,16,14,16
"38","GP","F",15,"U","<=3","together","higher","secondary","services","services","reputation","yes","yes","father","<15m","2-5h",0,"yes","no","no","yes","yes","yes","Good","High","High",2,4,"Bad",0,10,10,10,"father","<15m","2-5h",0,"yes","no","no","yes","yes","yes","Good","High","High",2,4,"Bad",0,13,12,12
"39","GP","F",16,"R",">3","together","middle","middle","services","services","reputation","no","yes","mother","15-30m",">10h",0,"no","yes","yes","yes","yes","no","Excellent","Moderate","VeryHigh",1,1,"VeryGood",6,10,10,11,"mother","15-30m",">10h",0,"no","yes","no","yes","yes","no","Excellent","Moderate","VeryHigh",1,1,"VeryGood",6,13,13,13
"40","GP","F",16,"R",">3","together","secondary","secondary","services","other","reputation","yes","yes","father","<15m","5-10h",1,"yes","yes","no","yes","yes","no","Good","VeryLow","Low",1,1,"Bad",0,7,10,10,"father","<15m","5-10h",0,"yes","yes","no","yes","yes","no","Good","VeryLow","Low",1,1,"Bad",4,11,11,11
"41","GP","F",16,"R",">3","together","higher","higher","health","teacher","other","yes","no","mother","<15m","2-5h",0,"no","yes","no","yes","yes","no","Bad","High","High",2,3,"Good",6,10,11,11,"mother","<15m","2-5h",0,"no","yes","no","yes","yes","no","Bad","High","High",2,3,"Good",0,17,16,16
"42","GP","F",16,"U",">3","apart","middle","primary","other","other","other","yes","yes","mother","<15m","2-5h",0,"no","no","yes","yes","yes","yes","Excellent","Moderate","High",1,1,"Bad",8,8,9,10,"mother","<15m","2-5h",0,"no","no","no","yes","yes","yes","Excellent","Moderate","High",1,1,"Bad",2,12,13,12
"43","GP","F",16,"U",">3","apart","middle","middle","other","other","reputation","yes","yes","mother","<15m","2-5h",0,"yes","yes","yes","no","yes","no","Neutral","Moderate","High",1,1,"Good",0,12,13,14,"mother","<15m","2-5h",0,"yes","yes","no","no","yes","no","Neutral","Moderate","High",1,1,"Good",0,13,13,13
"44","GP","F",16,"U",">3","apart","secondary","primary","services","other","course","yes","yes","mother","<15m","2-5h",3,"no","yes","yes","no","yes","no","Bad","Moderate","Moderate",2,2,"Good",5,7,7,7,"mother","<15m","2-5h",0,"no","yes","no","no","yes","no","Bad","Moderate","Moderate",2,2,"Good",2,11,11,12
"45","GP","F",16,"U",">3","apart","secondary","secondary","other","other","course","no","yes","other","15-30m","<2h",2,"no","yes","no","yes","yes","yes","Good","Moderate","Low",1,1,"VeryGood",0,4,0,0,"other","15-30m","<2h",0,"no","yes","no","yes","yes","yes","Good","Moderate","Low",1,1,"VeryGood",4,9,9,10
"46","GP","F",16,"U",">3","apart","secondary","higher","services","other","course","yes","yes","father","<15m","<2h",0,"no","no","no","no","yes","no","Neutral","Low","VeryLow",1,4,"VeryGood",16,12,11,11,"father","<15m","<2h",0,"no","no","no","no","yes","no","Neutral","Low","VeryLow",1,4,"VeryGood",12,15,13,14
"47","GP","F",16,"U",">3","together","primary","primary","at_home","other","home","yes","no","mother","15-30m","<2h",0,"no","yes","yes","no","yes","no","Good","Moderate","Low",1,4,"VeryGood",6,9,9,10,"mother","15-30m","<2h",0,"no","yes","no","no","yes","no","Good","Moderate","Low",1,4,"VeryGood",2,12,13,13
"48","GP","F",16,"U",">3","together","primary","primary","services","services","course","no","yes","father",">60m","<2h",0,"yes","yes","no","yes","yes","yes","Excellent","VeryHigh","VeryHigh",5,5,"VeryGood",6,10,8,11,"father",">60m","<2h",0,"yes","yes","no","yes","yes","yes","Excellent","VeryHigh","VeryHigh",5,5,"VeryGood",0,10,10,16
"49","GP","F",16,"U",">3","together","primary","secondary","at_home","services","home","no","yes","mother","<15m","2-5h",3,"no","no","no","yes","yes","yes","Good","Moderate","VeryHigh",1,1,"Moderate",0,8,7,0,"mother","<15m","2-5h",0,"no","no","no","yes","yes","yes","Good","Moderate","VeryHigh",1,1,"Moderate",0,14,13,13
"50","GP","F",16,"U",">3","together","middle","primary","other","other","course","yes","no","mother","<15m","2-5h",0,"no","yes","yes","no","yes","yes","Good","Moderate","VeryHigh",1,1,"VeryGood",2,8,9,10,"mother","<15m","2-5h",0,"no","yes","no","no","yes","yes","Good","Moderate","VeryHigh",1,1,"VeryGood",0,13,12,12
"51","GP","F",16,"U",">3","together","middle","primary","other","other","home","yes","yes","mother","<15m","<2h",0,"no","no","no","no","yes","yes","Good","VeryHigh","Low",1,1,"VeryGood",20,13,12,12,"mother","<15m","<2h",0,"no","no","no","no","yes","yes","Good","VeryHigh","Low",1,1,"VeryGood",4,9,10,10
"52","GP","F",16,"U",">3","together","middle","middle","at_home","other","home","yes","yes","mother","<15m","2-5h",1,"yes","no","no","yes","yes","no","Neutral","VeryLow","Low",1,1,"VeryGood",6,10,13,13,"mother","<15m","2-5h",1,"yes","no","no","yes","yes","no","Neutral","VeryLow","Low",1,1,"VeryGood",12,8,10,10
"53","GP","F",16,"U",">3","together","middle","middle","other","other","home","no","yes","mother","<15m","2-5h",0,"no","yes","yes","no","yes","no","Excellent","VeryLow","VeryHigh",1,1,"Good",0,6,7,0,"mother","<15m","2-5h",0,"no","yes","no","no","yes","no","Excellent","VeryLow","VeryHigh",1,1,"Good",0,12,12,13
"54","GP","F",16,"U",">3","together","middle","middle","other","other","home","yes","yes","mother","<15m","2-5h",0,"no","no","yes","no","yes","yes","Excellent","High","High",1,1,"VeryGood",0,8,7,8,"mother","<15m","2-5h",0,"no","no","no","no","yes","yes","Excellent","High","High",1,1,"VeryGood",0,12,11,11
"55","GP","F",16,"U",">3","together","middle","middle","other","other","reputation","yes","yes","mother","<15m",">10h",0,"no","no","yes","no","yes","yes","Excellent","Low","Moderate",1,3,"Moderate",0,11,11,11,"mother","<15m",">10h",0,"no","no","no","no","yes","yes","Excellent","Low","Moderate",1,3,"Moderate",1,13,13,13
"56","GP","F",16,"U",">3","together","middle","middle","services","other","reputation","no","yes","mother","15-30m","2-5h",0,"no","no","yes","yes","yes","no","Neutral","High","High",1,4,"VeryGood",2,13,13,11,"mother","15-30m","2-5h",0,"no","no","no","yes","yes","no","Neutral","High","High",1,4,"VeryGood",0,13,12,14
"57","GP","F",16,"U",">3","together","middle","middle","services","services","home","no","yes","mother","<15m","<2h",2,"no","yes","yes","no","yes","no","VeryBad","Low","Low",1,3,"VeryGood",14,6,9,8,"mother","<15m","<2h",0,"no","yes","no","no","yes","no","VeryBad","Low","Low",1,3,"VeryGood",6,10,11,12
"58","GP","F",16,"U",">3","together","middle","secondary","other","other","reputation","yes","no","mother","<15m","2-5h",0,"yes","yes","yes","yes","yes","no","Good","High","Moderate",1,3,"Good",6,8,10,10,"mother","<15m","2-5h",0,"yes","yes","no","yes","yes","no","Good","High","Moderate",1,3,"Good",4,11,12,12
"59","GP","F",16,"U",">3","together","middle","secondary","services","services","course","yes","yes","mother","<15m","2-5h",0,"no","no","no","no","yes","no","Good","Moderate","Moderate",1,1,"Bad",10,11,12,13,"mother","<15m","2-5h",0,"no","no","no","no","yes","no","Good","Moderate","Moderate",1,1,"Bad",6,12,12,13
"60","GP","F",16,"U",">3","together","middle","secondary","services","teacher","other","yes","yes","mother","<15m","2-5h",0,"yes","no","no","no","yes","no","Bad","Moderate","VeryLow",1,1,"Moderate",2,16,16,17,"mother","<15m","2-5h",0,"yes","no","no","no","yes","no","Bad","Moderate","VeryLow",1,1,"Moderate",0,13,13,14
"61","GP","F",16,"U",">3","together","secondary","primary","services","other","course","yes","yes","mother","<15m",">10h",0,"yes","yes","yes","no","yes","no","Good","Moderate","Moderate",1,2,"VeryGood",4,7,7,6,"mother","<15m",">10h",0,"yes","yes","no","no","yes","no","Good","Moderate","Moderate",1,2,"VeryGood",0,10,9,10
"62","GP","F",16,"U",">3","together","secondary","middle","other","other","reputation","yes","yes","mother","<15m","2-5h",0,"no","yes","yes","no","yes","no","VeryBad","Low","Low",1,2,"VeryBad",14,12,13,12,"mother","<15m","2-5h",0,"no","yes","no","no","yes","no","VeryBad","Low","Low",1,2,"VeryBad",8,14,15,16
"63","GP","F",16,"U",">3","together","secondary","secondary","other","other","home","yes","no","father","<15m","2-5h",0,"no","yes","yes","no","yes","no","Good","Moderate","Low",1,2,"VeryGood",4,6,10,10,"father","<15m","2-5h",0,"no","yes","no","no","yes","no","Good","Moderate","Low",1,2,"VeryGood",0,11,13,13
"64","GP","F",16,"U",">3","together","secondary","secondary","other","other","home","yes","yes","mother","<15m","5-10h",0,"no","yes","yes","no","yes","yes","Good","Moderate","Moderate",1,3,"Good",0,7,7,8,"mother","<15m","5-10h",0,"no","yes","no","no","yes","yes","Good","Moderate","Moderate",1,3,"Good",2,9,11,11
"65","GP","F",16,"U",">3","together","secondary","secondary","other","other","reputation","yes","no","mother","30-60m","2-5h",0,"yes","yes","no","yes","yes","no","Excellent","Moderate","Low",1,1,"Good",4,8,10,10,"mother","30-60m","2-5h",0,"yes","yes","no","yes","yes","no","Excellent","Moderate","Low",1,1,"Good",2,13,14,14
"66","GP","F",16,"U",">3","together","secondary","secondary","other","services","home","yes","yes","mother","<15m","2-5h",0,"yes","yes","yes","yes","yes","no","Good","Moderate","Moderate",2,4,"VeryGood",54,11,12,11,"mother","<15m","2-5h",0,"yes","yes","no","yes","yes","no","Good","Moderate","Moderate",2,4,"VeryGood",4,11,11,11
"67","GP","F",16,"U",">3","together","secondary","higher","at_home","other","course","yes","yes","mother","<15m","2-5h",0,"no","yes","no","no","yes","no","Bad","High","Moderate",1,2,"Moderate",12,5,5,5,"mother","<15m","2-5h",0,"no","yes","no","no","yes","no","Bad","High","Moderate",1,2,"Moderate",14,12,11,11
"68","GP","F",16,"U",">3","together","higher","middle","health","services","home","yes","yes","father","<15m","2-5h",0,"no","no","yes","no","yes","yes","Good","Low","Moderate",1,1,"Moderate",0,14,15,16,"father","<15m","2-5h",0,"no","no","no","no","yes","yes","Good","Low","Moderate",1,1,"Moderate",0,17,17,18
"69","GP","F",16,"U",">3","together","higher","middle","services","other","course","yes","yes","mother","<15m","2-5h",0,"no","yes","no","no","yes","no","Good","Low","Moderate",1,1,"VeryGood",2,15,16,16,"mother","<15m","2-5h",0,"no","yes","yes","no","yes","no","Good","Low","Moderate",1,1,"VeryGood",2,16,15,16
"70","GP","F",16,"U",">3","together","higher","middle","teacher","services","home","yes","yes","mother","15-30m","2-5h",0,"no","yes","yes","yes","yes","no","Excellent","Moderate","Moderate",1,1,"VeryBad",0,11,10,10,"mother","15-30m","2-5h",0,"no","yes","no","yes","yes","no","Excellent","Moderate","Moderate",1,1,"VeryBad",2,13,14,14
"71","GP","F",16,"U",">3","together","higher","secondary","health","other","home","yes","yes","mother","<15m","2-5h",0,"no","yes","no","yes","yes","no","Good","Moderate","VeryHigh",1,5,"Bad",2,16,16,16,"mother","<15m","2-5h",0,"no","yes","no","yes","yes","no","Good","Moderate","VeryHigh",1,5,"Bad",2,14,14,15
"72","GP","F",16,"U",">3","together","higher","secondary","other","at_home","course","yes","yes","mother","<15m","5-10h",0,"yes","yes","yes","no","yes","no","Excellent","Moderate","VeryHigh",1,1,"Moderate",0,7,9,8,"mother","<15m","5-10h",0,"yes","yes","no","no","yes","no","Excellent","Moderate","VeryHigh",1,1,"Moderate",2,12,13,13
"73","GP","F",16,"U",">3","together","higher","secondary","teacher","health","home","yes","yes","mother","<15m","5-10h",0,"yes","yes","yes","yes","yes","no","Neutral","High","High",2,4,"Good",2,10,9,9,"mother","<15m","5-10h",0,"yes","yes","no","yes","yes","no","Neutral","High","High",2,4,"Good",0,14,13,13
"74","GP","F",16,"U",">3","together","higher","secondary","teacher","other","other","yes","yes","mother","<15m","2-5h",0,"no","no","yes","yes","yes","yes","VeryBad","Moderate","Low",1,1,"VeryBad",10,11,12,13,"mother","<15m","2-5h",0,"no","no","no","yes","yes","yes","VeryBad","Moderate","Low",1,1,"VeryBad",4,14,15,15
"75","GP","F",16,"U",">3","together","higher","higher","health","health","reputation","yes","yes","mother","<15m","2-5h",0,"no","yes","yes","no","yes","yes","Good","High","Low",1,1,"Moderate",0,14,14,14,"mother","<15m","2-5h",0,"no","yes","no","no","yes","yes","Good","High","Low",1,1,"Moderate",0,16,16,17
"76","GP","F",16,"U",">3","together","higher","higher","health","other","home","yes","yes","mother","<15m","<2h",0,"no","yes","no","no","yes","no","Good","High","High",1,2,"Bad",4,14,14,14,"mother","<15m","<2h",0,"no","yes","no","no","yes","no","Good","High","High",1,2,"Bad",6,17,17,17
"77","GP","F",16,"U",">3","together","higher","higher","other","other","reputation","no","yes","mother","<15m","<2h",0,"no","no","no","yes","yes","no","Excellent","Moderate","High",1,2,"VeryBad",6,11,14,14,"mother","<15m","<2h",0,"no","no","no","yes","yes","no","Excellent","Moderate","High",1,2,"VeryBad",4,12,13,13
"78","GP","F",16,"U",">3","together","higher","higher","services","services","reputation","yes","yes","mother","<15m","5-10h",0,"no","yes","yes","yes","yes","no","Neutral","Low","Moderate",1,2,"Bad",6,13,14,14,"mother","<15m","5-10h",0,"no","yes","no","yes","yes","no","Neutral","Low","Moderate",1,2,"Bad",10,13,13,14
"79","GP","F",16,"U",">3","together","higher","higher","teacher","services","home","no","yes","mother","<15m","5-10h",0,"no","yes","no","yes","yes","no","Excellent","Moderate","Low",1,1,"VeryGood",0,13,13,14,"mother","<15m","5-10h",0,"no","yes","no","yes","yes","no","Excellent","Moderate","Low",1,1,"VeryGood",4,15,16,16
"80","GP","F",16,"U","<=3","apart","secondary","secondary","other","services","home","yes","yes","mother","<15m","2-5h",0,"no","yes","no","no","yes","no","Bad","Moderate","VeryHigh",1,4,"Moderate",12,11,12,11,"mother","<15m","2-5h",0,"no","yes","no","no","yes","no","Bad","Moderate","VeryHigh",1,4,"Moderate",6,13,12,13
"81","GP","F",16,"U","<=3","together","primary","primary","at_home","at_home","course","yes","yes","mother","<15m","<2h",0,"no","no","no","no","yes","no","Neutral","High","High",3,3,"VeryBad",2,14,14,13,"mother","<15m","<2h",0,"no","no","no","no","yes","no","Neutral","High","High",3,3,"VeryBad",4,10,11,11
"82","GP","F",16,"U","<=3","together","primary","middle","other","services","reputation","yes","yes","father","<15m","2-5h",0,"yes","no","no","yes","yes","no","Good","High","Moderate",1,1,"VeryBad",4,8,10,9,"father","<15m","2-5h",0,"yes","no","no","yes","yes","no","Good","High","Moderate",1,1,"VeryBad",0,13,13,10
"83","GP","F",16,"U","<=3","together","middle","middle","at_home","other","course","yes","no","mother","<15m","2-5h",0,"no","yes","no","no","yes","no","Good","Moderate","High",1,2,"Bad",4,8,7,6,"mother","<15m","2-5h",0,"no","yes","no","no","yes","no","Good","Moderate","High",1,2,"Bad",6,13,11,11
"84","GP","F",16,"U","<=3","together","middle","middle","other","at_home","course","yes","yes","father","15-30m","2-5h",1,"yes","no","no","yes","yes","no","Good","Moderate","Moderate",2,2,"VeryGood",14,10,10,9,"father","15-30m","2-5h",1,"yes","no","no","yes","yes","no","Good","Moderate","Moderate",2,2,"VeryGood",14,10,11,11
